x,y,type,population
25.0,25.0,C,800
25.0,105.0,C,800
25.0,185.0,C,800
25.0,265.0,C,800
25.0,345.0,C,800
25.0,425.0,B,1500
25.0,505.0,B,1500
25.0,585.0,B,1500
25.0,665.0,B,1500
25.0,745.0,B,1500
25.0,825.0,B,800
25.0,905.0,B,800
25.0,985.0,B,500
105.0,25.0,C,800
105.0,105.0,C,1500
105.0,185.0,C,1500
105.0,265.0,C,1500
105.0,345.0,C,1500
105.0,425.0,B,1500
105.0,505.0,B,3000
105.0,585.0,B,3000
105.0,665.0,B,3000
105.0,745.0,B,1500
105.0,825.0,B,1500
105.0,905.0,B,800
105.0,985.0,B,500
185.0,25.0,C,1500
185.0,105.0,C,1500
185.0,185.0,C,3000
185.0,265.0,C,3000
185.0,345.0,C,3000
185.0,425.0,B,3000
185.0,505.0,B,8000
185.0,585.0,B,50000
185.0,665.0,B,8000
185.0,745.0,B,3000
185.0,825.0,B,1500
185.0,905.0,B,800
185.0,985.0,A,800
265.0,25.0,C,1500
265.0,105.0,C,3000
265.0,185.0,C,8000
265.0,265.0,C,8000
265.0,345.0,C,8000
265.0,425.0,B,3000
265.0,505.0,B,8000
265.0,585.0,B,50000
265.0,665.0,B,8000
265.0,745.0,B,3000
265.0,825.0,A,1500
265.0,905.0,A,1500
265.0,985.0,A,800
345.0,25.0,C,1500
345.0,105.0,C,3000
345.0,185.0,C,8000
345.0,265.0,C,50000
345.0,345.0,C,8000
345.0,425.0,C,3000
345.0,505.0,B,3000
345.0,585.0,B,8000
345.0,665.0,B,3000
345.0,745.0,A,3000
345.0,825.0,A,3000
345.0,905.0,A,3000
345.0,985.0,A,1500
425.0,25.0,C,1500
425.0,105.0,C,3000
425.0,185.0,C,3000
425.0,265.0,C,8000
425.0,345.0,C,8000
425.0,425.0,C,3000
425.0,505.0,B,1500
425.0,585.0,B,3000
425.0,665.0,A,3000
425.0,745.0,A,8000
425.0,825.0,A,8000
425.0,905.0,A,3000
425.0,985.0,A,1500
